1,"[-1.329, 67.69, -5.0]",1819.2,24000,,6
1,"[-1.479, 67.926, -5.0]",1819.2,24000,,6
1,"[-1.663, 68.137, -5.0]",1819.2,24000,,6
3,"[-2.228, 68.111, -5.0]",1000.0,24000,0.4,6
3,"[-2.309, 67.977, -5.0]",1000.0,24000,0.4,6
1,"[-2.326, 67.911, -5.0]",1819.2,24000,,6
1,"[-2.332, 67.844, -5.0]",1819.2,24000,,6
1,"[-2.369, 62.107, -5.0]",1819.2,24000,,6
1,"[-2.365, 62.048, -5.0]",1819.2,24000,,6
1,"[-2.352, 61.989, -5.0]",1819.2,24000,,6
3,"[-1.854, 61.722, -5.0]",1000.0,24000,0.4,6
3,"[-1.716, 61.795, -5.0]",1000.0,24000,0.4,6
1,"[-1.545, 61.945, -5.0]",1819.2,24000,,6
1,"[-1.438, 62.049, -5.0]",1819.2,24000,,6
1,"[-1.354, 62.173, -5.0]",1819.2,24000,,6
1,"[-1.284, 62.306, -5.0]",1819.2,24000,,6
1,"[-1.223, 62.443, -5.0]",1819.2,24000,,6
1,"[-1.171, 62.584, -5.0]",1819.2,24000,,6
1,"[-1.125, 62.727, -5.0]",1819.2,24000,,6
1,"[-1.085, 62.871, -5.0]",1819.2,24000,,6
1,"[-1.05, 63.017, -5.0]",1819.2,24000,,6
1,"[-1.012, 63.194, -5.0]",1819.2,24000,,6
1,"[-0.978, 63.375, -5.0]",1819.2,24000,,6
1,"[-0.94, 63.619, -5.0]",1819.2,24000,,6
1,"[-0.905, 63.89, -5.0]",1819.2,24000,,6
1,"[-0.869, 64.247, -5.0]",1819.2,24000,,6
1,"[-0.835, 64.721, -5.0]",1819.2,24000,,6
1,"[-0.806, 65.374, -5.0]",1819.2,24000,,6
1,"[-0.798, 65.836, -5.0]",1819.2,24000,,6
1,"[-0.801, 66.143, -5.0]",1819.2,24000,,6
1,"[-0.809, 66.361, -5.0]",1819.2,24000,,6
1,"[-0.819, 66.511, -5.0]",1819.2,24000,,6
1,"[-0.833, 66.66, -5.0]",1819.2,24000,,6
1,"[-0.852, 66.809, -5.0]",1819.2,24000,,6
1,"[-0.876, 66.957, -5.0]",1819.2,24000,,6
